Date,Open,High,Low,Close,Adj Close,Volume
2022-09-26,14.022500,14.022500,14.022500,14.022500,14.022500,0
2022-09-27,13.980000,13.980000,13.980000,13.980000,13.980000,0
2022-09-28,13.685000,14.035000,13.685000,13.940000,13.940000,1666
2022-09-29,13.845000,13.940000,13.695000,13.887500,13.887500,1921
2022-09-30,13.970000,14.035000,13.970000,14.015000,14.015000,7824
2022-10-03,14.270000,14.270000,14.270000,14.967500,14.967500,400
2022-10-04,15.444000,15.444000,15.444000,15.270000,15.270000,1530
2022-10-05,15.055000,15.105000,15.055000,15.097500,15.097500,1242
2022-10-06,15.310000,15.310000,15.310000,15.310000,15.310000,0
2022-10-07,15.105000,15.105000,15.105000,15.105000,15.105000,0
2022-10-10,15.010000,15.010000,15.010000,14.980000,14.980000,480
2022-10-11,14.940000,14.940000,14.940000,14.927500,14.927500,3
2022-10-12,14.670000,14.670000,14.670000,14.670000,14.670000,0
2022-10-13,14.670000,14.670000,14.645000,14.722500,14.722500,768
2022-10-14,14.600000,14.600000,14.600000,14.605000,14.605000,2476
2022-10-17,14.795000,14.795000,14.795000,14.787500,14.787500,503
2022-10-18,14.765000,14.765000,14.765000,14.742500,14.742500,530
2022-10-19,14.877500,14.877500,14.877500,14.877500,14.877500,0
2022-10-20,14.950000,15.250000,14.950000,15.180000,15.180000,135
2022-10-21,15.050000,15.050000,15.050000,15.355000,15.355000,2860
2022-10-24,15.195000,15.195000,15.120000,15.165000,15.165000,3790
2022-10-25,15.115000,15.115000,15.115000,15.115000,15.115000,0
2022-10-26,15.015000,15.015000,15.015000,15.015000,15.015000,0
2022-10-27,15.115000,15.115000,15.115000,15.110000,15.110000,644
2022-10-28,15.025000,15.025000,15.025000,15.015000,15.015000,16
2022-10-31,15.355000,15.355000,15.275000,15.240000,15.240000,7238
2022-11-01,15.690000,15.795000,15.440000,15.757500,15.757500,951
2022-11-02,15.570000,15.570000,15.570000,15.557500,15.557500,1527
2022-11-03,15.410000,15.710000,15.265000,15.737500,15.737500,7155
2022-11-04,16.055000,16.350000,16.055000,16.232500,16.232500,812
2022-11-07,15.840000,15.840000,15.840000,15.867500,15.867500,1475
2022-11-08,15.982500,15.982500,15.982500,15.982500,15.982500,0
2022-11-09,15.800000,15.895000,15.750000,15.827500,15.827500,12577
2022-11-10,15.155000,15.390000,15.100000,15.215000,15.215000,2452
2022-11-11,15.185000,15.240000,15.105000,15.245000,15.245000,1498
2022-11-14,15.505000,15.535000,15.355000,15.357500,15.357500,640
2022-11-15,15.410000,15.410000,15.410000,15.502500,15.502500,100
2022-11-16,15.565000,15.565000,15.345000,15.097500,15.097500,178
2022-11-17,14.185000,14.185000,14.175000,14.045000,14.045000,211
2022-11-18,14.295000,14.465000,14.295000,14.427500,14.427500,7020
2022-11-21,14.290000,14.355000,14.290000,14.342500,14.342500,3245
2022-11-22,14.530000,14.530000,14.435000,14.435000,14.435000,556
2022-11-23,14.420000,14.510000,14.340000,14.450000,14.450000,1406
2022-11-24,14.710000,14.965000,14.710000,14.795000,14.795000,595
2022-11-25,14.830000,14.830000,14.610000,14.585000,14.585000,41
2022-11-28,14.265000,14.515000,14.165000,14.472500,14.472500,891
2022-11-29,14.670000,14.700000,14.670000,14.760000,14.760000,7690
